HDI Rank (2015);Country;1990;1995;2000;2005;2010;2011;2012;2013;2014;2015
29; Greece;12.9;13.4;14.6;16.4;16.6;16.8;17;17.1;17.1;17.1
79; Grenada;;;;15.5;16.2;16.2;16.2;16.2;16.2;16.2
125; Guatemala;;;8;9.5;10.3;10.3;10.4;10.5;10.5;10.5
183; Guinea;1.7;2.2;3.8;5.8;7;7.2;7.3;7.4;7.5;7.5
127; Guyana;;;11;11.7;10.5;10.7;10.5;10.5;10.5;10.5
130; Honduras;8.8;9.5;10.4;11.3;12.1;12.1;12.1;11.8;11.6;11.6
12; Hong Kong, China (SAR);;;;;15.3;15.4;15;15.7;15.8;15.8
43; Hungary;11.2;12.6;14.5;15.7;15.7;15.7;15.7;16.2;16;16
9; Iceland;14.4;16;17.8;19.2;19.9;19.8;20.1;20.1;20.1;20.1
131; India;6.4;6.9;7.3;9.1;10.5;11;11.4;11.9;11.9;11.9
113; Indonesia;9.6;9.6;10.4;10.9;12.4;12.6;13;12.9;12.9;12.9
69; Iran (Islamic Republic of);;10.4;11;11.3;13.1;13.6;15;14.7;14.6;14.6
121; Iraq;;7.8;7.4;8.9;9.9;10.1;9.9;9.7;9.7;9.7
8; Ireland;12.3;13.3;16.9;17.9;18.6;18.4;18.6;18.6;18.6;18.6
19; Israel;13;14.3;15.6;16.2;16.3;16.4;16.4;16.5;16.5;16.5
26; Italy;12.8;14.2;15.2;16.4;16.9;17.1;16.9;16.7;16.7;16.7
94; Jamaica;;11.6;11.2;12.7;13;13.1;13.1;13.1;13.1;13.1
17; Japan;13.1;14.1;14.5;14.8;15;15.1;15.2;15.2;15.2;15.2
86; Jordan;11.9;12.2;13;13.9;13.1;12.9;13.4;13.4;13.4;13.4
56; Kazakhstan;;12.2;12.6;14.7;14.7;15;15.3;15.2;15.3;15.4
146; Kenya;;8.5;8.2;9.4;10.8;10.8;10.8;10.8;10.8;10.8
137; Kiribati;10.5;11.2;10.8;12.5;12.3;12.3;12.3;12.3;12.3;12.3
0; Korea (Democratic People's Rep. of);;;;;11.5;11.5;11.5;11.5;11.5;11.5
18; Korea (Republic of);13;14.1;14.9;15.7;15.8;15.9;15.8;15.8;15.8;15.8
51; Kuwait;10.3;11.8;14.7;15;14.1;13.9;13.7;13.6;13.6;13.6
120; Kyrgyzstan;;10.6;11.9;12.8;12.3;12.5;12.8;13;13.3;13.3
138; Lao People's Democratic Republic;5.5;6;7;8;9.2;9.6;9.8;10.1;10.4;10.4
44; Latvia;12.9;12.9;15.1;17.3;16.7;16.3;16.1;16.6;16.6;16.6
76; Lebanon;11.9;12.8;15.4;13.1;13;13;13;13;13;13
160; Lesotho;10.9;10.8;10.8;11;11.4;11.5;11.7;11.4;11.2;11.2
177; Liberia;;3;8.8;8.9;9.1;9.2;9.2;9.3;9.3;9.3
102; Libya;;;16;15.6;14.3;13.9;13.6;13.6;13.6;13.6
15; Liechtenstein;;;12.5;13.4;13.4;13.7;13.8;13.7;13.5;13.5
37; Lithuania;12.9;12.3;15.2;17.3;17.5;17.2;17;17.1;17.1;17.1
20; Luxembourg;;;13.6;13.6;14;14;14;14;14;14
158; Madagascar;6.2;7.1;7.9;8.8;10;10;10.2;10.2;10.2;10.2
170; Malawi;4.8;9.8;9.5;9.4;10.5;10.7;10.7;10.7;10.7;10.7
105; Maldives;;8.6;11.9;12.1;11.9;12.2;12.5;12.8;12.8;12.8
175; Mali;1.5;2.3;3.8;5.2;6.6;6.8;7.1;7.3;7.5;7.5
33; Malta;12.5;13.1;13.7;15.1;14.4;13.9;14;14;14.3;14.3
157; Mauritania;2.9;4.8;6.1;7.1;7.6;7.7;8;8.4;8.4;8.4
64; Mauritius;10.5;11.3;12.1;13.4;14.4;14.7;15.2;15;15.5;15.5
77; Mexico;10.4;10.5;11.6;12.4;12.8;12.9;13.1;13.3;13.5;13.5
107; Moldova (Republic of);12.2;11.3;11.7;12.4;12.1;12.1;12.1;12.1;12.1;12.1
92; Mongolia;;8.6;10.3;13.5;15.3;15.4;15.4;15.4;15.5;15.5
48; Montenegro;;;;13.5;15.4;15.5;15.6;15.7;15.7;15.7
123; Morocco;5.3;6.2;7.7;9.4;10.7;11.1;11.5;11.5;11.5;11.5
181; Mozambique;3.1;3.2;4.9;7.1;8.8;8.6;8.6;8.6;8.6;8.6
145; Myanmar;5.7;6.9;;;;;;;;
125; Namibia;11.5;11.9;11.9;11.4;12.1;12.3;11.8;11.8;11.8;11.8
0; Nauru;;;9.9;10.7;10;10.1;10.2;10.2;10.2;10.2
144; Nepal;5.2;6.4;7.6;8.8;11.9;12.4;12.5;12.7;12.7;12.7
7; Netherlands;14.4;16.5;16.6;16.5;17.2;18.2;18.2;18.2;18.2;18.2
13; New Zealand;14.5;17.1;18.2;20;20.5;20.3;20.1;20;20;20
124; Nicaragua;;;10.7;11.4;11.7;11.7;11.8;11.8;11.9;11.9
187; Niger;1.5;1.9;2.3;3;4.2;4.4;4.7;4.7;4.7;4.7
152; Nigeria;;6.5;7.1;8.2;8.8;8.9;9.1;9.2;9.2;9.2
1; Norway;14.3;15.7;18.2;18.2;18.3;18.3;18.2;18.4;18.3;18.3
52; Oman;7.2;9.6;10.5;11.4;13.5;13.9;13.9;13.9;13.9;13.9
147; Pakistan;3;3.9;4.8;5.7;6.8;6.8;7;7;7.4;7.4
60; Palau;;;;;17.5;17.5;17.6;17.6;17.6;17.6
114; Palestine, State of;;9.7;11.3;12.9;13.9;14;13.9;13.7;13.7;13.7
60; Panama;;11.6;12.9;13.5;13.4;13.3;14.2;13.2;13.2;13.2
154; Papua New Guinea;4.2;4.7;5.9;;;;;;;
110; Paraguay;8.5;10;11.8;12.1;12.6;12.6;12.6;12.6;12.6;12.6
87; Peru;;;13.4;13;13.5;13.5;13.5;13.5;13.5;13.5
116; Philippines;;10.5;11.6;11.8;11.8;11.9;12;12.1;12.1;12.1
36; Poland;12.6;13.2;15.1;15.6;16.1;16.1;16.2;17.2;17.2;17.2
41; Portugal;12.1;15.3;16.1;15.9;16.4;16.5;16.5;16.8;16.5;16.5
33; Qatar;13;14;13.8;13.9;13.3;13.5;13.5;13.5;13.5;13.5
50; Romania;11.8;10.4;11.9;14.1;16.3;15.8;15.1;15.1;15.1;15.1
49; Russian Federation;;;12.9;14.3;14.6;14.9;15;15.3;15.3;15.3
159; Rwanda;5.6;6.3;7;9.2;11;11.2;11.4;11.4;11.4;11.4
74; Saint Kitts and Nevis;12.7;13.2;13.2;13.3;13.5;13.6;13.7;13.7;13.8;13.8
92; Saint Lucia;13.1;13.7;13;13.1;13.2;13.3;13.4;13.4;13.4;13.4
99; Saint Vincent and the Grenadines;;12.9;13.3;13.4;13.5;13.5;13.5;13.5;13.5;13.5
104; Samoa;;12.4;12.4;13.1;13.3;13.3;13.3;13.3;13.3;13.3
0; San Marino;;;;;16.5;15.8;15.6;15.6;15.6;15.6
142; Sao Tome and Principe;;;9.4;10.1;10.5;10.8;11.1;11.5;11.9;12.2
